fecha,evento,valor,estado
2026-09-05T15:00:34,inicio,78,OK
2026-09-05T15:00:39,proceso,23,OK
2026-09-05T15:00:44,actualizacion,73,OK
2026-09-05T15:00:49,inicio,5,OK
2026-09-05T15:00:54,advertencia,54,REVISION
2026-09-05T15:00:59,proceso,79,OK
2026-09-05T15:01:04,advertencia,50,REVISION
2026-09-05T15:01:09,inicio,78,OK
2026-09-05T15:01:14,actualizacion,32,OK
2026-09-05T15:01:19,advertencia,39,REVISION
2026-09-05T15:01:24,actualizacion,35,OK
2026-09-05T15:01:29,inicio,99,OK
2026-09-05T15:01:34,actualizacion,62,OK
2026-09-05T15:01:40,actualizacion,34,OK
2026-09-05T15:01:45,actualizacion,69,OK
2026-09-05T15:01:50,actualizacion,46,OK
2026-09-05T15:01:55,actualizacion,2,OK
2026-09-05T15:02:00,actualizacion,65,OK
2026-09-05T15:02:05,actualizacion,65,OK
2026-09-05T15:02:10,proceso,10,OK
2026-09-05T15:02:15,proceso,55,OK
2026-09-05T15:02:20,advertencia,85,REVISION
2026-09-05T15:02:25,proceso,35,OK
2026-09-05T15:02:30,inicio,20,OK
2026-09-05T15:02:35,inicio,16,OK
2026-09-05T15:02:40,actualizacion,59,OK
2026-09-05T15:02:45,inicio,28,OK
2026-09-05T15:02:50,actualizacion,49,OK
2026-09-05T15:02:55,proceso,91,OK
2026-09-05T15:03:00,actualizacion,92,OK
2026-09-05T15:03:05,inicio,40,OK
2026-09-05T15:03:10,actualizacion,33,OK
2026-09-05T15:03:15,proceso,89,OK
2026-09-05T15:03:20,proceso,52,OK
2026-09-05T15:03:25,inicio,15,OK
2026-09-05T15:03:30,advertencia,87,REVISION
2026-09-05T15:03:35,advertencia,72,REVISION
2026-09-05T15:03:40,advertencia,100,REVISION
2026-09-05T15:03:45,advertencia,3,REVISION
2026-09-05T15:03:50,proceso,97,OK
2026-09-05T15:03:55,proceso,92,OK
2026-09-05T15:04:00,proceso,70,OK
2026-09-05T15:04:05,proceso,94,OK
2026-09-05T15:04:10,inicio,90,OK
2026-09-05T15:04:15,advertencia,67,REVISION
2026-09-05T15:04:20,proceso,5,OK
2026-09-05T15:04:25,proceso,34,OK
2026-09-05T15:04:30,advertencia,16,REVISION
2026-09-05T15:04:35,advertencia,54,REVISION
2026-09-05T15:04:40,advertencia,98,REVISION
2026-09-05T15:04:45,inicio,85,OK
2026-09-05T15:04:50,inicio,25,OK
2026-09-05T15:04:55,proceso,8,OK
2026-09-05T15:05:00,actualizacion,31,OK
2026-09-05T15:05:05,actualizacion,34,OK
2026-09-05T15:05:10,advertencia,10,REVISION
2026-09-05T15:05:15,actualizacion,84,OK
2026-09-05T15:05:20,proceso,90,OK
2026-09-05T15:05:25,inicio,79,OK
2026-09-05T15:05:30,inicio,59,OK
2026-09-05T15:05:35,inicio,40,OK
